    0.101046590780037818E+03    0.988242990243163746E+02    0.999888971609275323E+01    0.256993313261999425E+02   -0.195254866114044003E+07
    0.101033620386751011E+03    0.988175959914725723E+02    0.100045725059298292E+02    0.257103520003717101E+02   -0.195254517681767396E+07
    0.101056852969093853E+03    0.988070139851529632E+02    0.100232666145435285E+02    0.256854575725067917E+02   -0.195254477752698329E+07
    0.101067104997198683E+03    0.988195894361810048E+02    0.999587977157194096E+01    0.257413512054385443E+02   -0.195254350608493364E+07
    0.101061657205331230E+03    0.988060493667978648E+02    0.999472290902202865E+01    0.257377714938750231E+02   -0.195254347082668869E+07
    0.101070307687873708E+03    0.988416972810234853E+02    0.100117371617100144E+02    0.257181662291386068E+02   -0.195254344269929873E+07
    0.101050825542117551E+03    0.988060518204235194E+02    0.100096485235038539E+02    0.256914772583675415E+02   -0.195254343012992595E+07
    0.101066259660250466E+03    0.988209887880365301E+02    0.999373475321661431E+01    0.257145823728994820E+02   -0.195254323704803968E+07
    0.101072296917206586E+03    0.988401118613585794E+02    0.100152172070698846E+02    0.256891256819275711E+02   -0.195254323700327845E+07
    0.101050662263969841E+03    0.988363126982006293E+02    0.100038396932282865E+02    0.257020672825202539E+02   -0.195254308950072457E+07
    0.101051549185456096E+03    0.988279682235284014E+02    0.999544891790749190E+01    0.257173941690432990E+02   -0.195254304075968126E+07
    0.101077136993530914E+03    0.988435856435730784E+02    0.100126142115821235E+02    0.257102022874394542E+02   -0.195254294796095951E+07
    0.101070097796376785E+03    0.988056413376448717E+02    0.100208323193564759E+02    0.256851929151693099E+02   -0.195254287087008450E+07
    0.101069836085794250E+03    0.988427560200443480E+02    0.999877125909493891E+01    0.257158733938713411E+02   -0.195254276970668626E+07
    0.101083595196409675E+03    0.988118449954837388E+02    0.100206823194555916E+02    0.256916992124055099E+02   -0.195254270002073073E+07
    0.101072143798663163E+03    0.988167835814035698E+02    0.100229060160344599E+02    0.256958152160790654E+02   -0.195254266782874637E+07
    0.101071883055819086E+03    0.987915707321763392E+02    0.100004344624113113E+02    0.257169280835480230E+02   -0.195254265623965627E+07
    0.101062692486649809E+03    0.988082445315373548E+02    0.100003317466875838E+02    0.257362128349236876E+02   -0.195254261177464388E+07
    0.101069797179287306E+03    0.988269527381430919E+02    0.100110236989534211E+02    0.257245635573349745E+02   -0.195254237172223395E+07
    0.101093704777940502E+03    0.988095995421903552E+02    0.100068152925001765E+02    0.257039992975106451E+02   -0.195254218710642564E+07
    0.101058408003519332E+03    0.987922728203125331E+02    0.100088827826142239E+02    0.257052487488994004E+02   -0.195254210337704886E+07
    0.101051973823054865E+03    0.987998864948022941E+02    0.100139291422572079E+02    0.257067278358745810E+02   -0.195254201797855413E+07
    0.101057281770377401E+03    0.988115939164466681E+02    0.999848119042621519E+01    0.257351355055452196E+02   -0.195254195187756629E+07
    0.101080595708237681E+03    0.987932289498181859E+02    0.100087297695558561E+02    0.257112079741136803E+02   -0.195254186289580446E+07
    0.101088311501753807E+03    0.988058341951066836E+02    0.999900289695760236E+01    0.257201373260744113E+02   -0.195254181749176979E+07
    0.101083026853969187E+03    0.988188644341410907E+02    0.100073970602197804E+02    0.256939427919848420E+02   -0.195254175628186902E+07
    0.101068563868542242E+03    0.988270742749378144E+02    0.999812968344355468E+01    0.257361722828737314E+02   -0.195254173893246567E+07
    0.101061941505985658E+03    0.988421279909918979E+02    0.100001397751608501E+02    0.257188131719344959E+02   -0.195254163538973569E+07
    0.101066474138569419E+03    0.988205932332764831E+02    0.999781248706515058E+01    0.257371043252937746E+02   -0.195254157159498101E+07
    0.101090433139112477E+03    0.988117401776699325E+02    0.100017014530579029E+02    0.257246048224655794E+02   -0.195254154168324219E+07
    0.101053928072425634E+03    0.988313974275453404E+02    0.100182799365231663E+02    0.256948271315268642E+02   -0.195254152813224099E+07
    0.101052919186796302E+03    0.988264579728033112E+02    0.999661462023598801E+01    0.257303227219865356E+02   -0.195254152408727771E+07
    0.101068471907421142E+03    0.988089255116757954E+02    0.100065413441242992E+02    0.257292849105386416E+02   -0.195254151335939136E+07
    0.101094249324429256E+03    0.988229012748628008E+02    0.100054479740398268E+02    0.257137206645550620E+02   -0.195254150903478055E+07
    0.101050965243793357E+03    0.988015180899514576E+02    0.100101537794430531E+02    0.257141203571279675E+02   -0.195254137379043573E+07
    0.101047807120142181E+03    0.988061075978584142E+02    0.100044048448706793E+02    0.257219652513147032E+02   -0.195254135651393933E+07
    0.101078008075668919E+03    0.988189391642319350E+02    0.100177721342311639E+02    0.256861068124323140E+02   -0.195254134746315051E+07
    0.101086142901164493E+03    0.988041491264743996E+02    0.100146746774648303E+02    0.257041685559996473E+02   -0.195254132693876605E+07
